//Y rotation	X' rotation	"Z"" rotation1"	Defocus1
//defocus = -10 + 0.0390625 * (ROW() - 3)			
0	0	0	-10
0	0	0	-9.9609375
0	0	0	-9.921875
0	0	0	-9.8828125
0	0	0	-9.84375
0	0	0	-9.8046875
0	0	0	-9.765625
0	0	0	-9.7265625
0	0	0	-9.6875
0	0	0	-9.6484375
0	0	0	-9.609375
0	0	0	-9.5703125
0	0	0	-9.53125
0	0	0	-9.4921875
0	0	0	-9.453125
0	0	0	-9.4140625
0	0	0	-9.375
0	0	0	-9.3359375
0	0	0	-9.296875
0	0	0	-9.2578125
0	0	0	-9.21875
0	0	0	-9.1796875
0	0	0	-9.140625
0	0	0	-9.1015625
0	0	0	-9.0625
0	0	0	-9.0234375
0	0	0	-8.984375
0	0	0	-8.9453125
0	0	0	-8.90625
0	0	0	-8.8671875
0	0	0	-8.828125
0	0	0	-8.7890625
0	0	0	-8.75
0	0	0	-8.7109375
0	0	0	-8.671875
0	0	0	-8.6328125
0	0	0	-8.59375
0	0	0	-8.5546875
0	0	0	-8.515625
0	0	0	-8.4765625
0	0	0	-8.4375
0	0	0	-8.3984375
0	0	0	-8.359375
0	0	0	-8.3203125
0	0	0	-8.28125
0	0	0	-8.2421875
0	0	0	-8.203125
0	0	0	-8.1640625
0	0	0	-8.125
0	0	0	-8.0859375
0	0	0	-8.046875
0	0	0	-8.0078125
0	0	0	-7.96875
0	0	0	-7.9296875
0	0	0	-7.890625
0	0	0	-7.8515625
0	0	0	-7.8125
0	0	0	-7.7734375
0	0	0	-7.734375
0	0	0	-7.6953125
0	0	0	-7.65625
0	0	0	-7.6171875
0	0	0	-7.578125
0	0	0	-7.5390625
0	0	0	-7.5
0	0	0	-7.4609375
0	0	0	-7.421875
0	0	0	-7.3828125
0	0	0	-7.34375
0	0	0	-7.3046875
0	0	0	-7.265625
0	0	0	-7.2265625
0	0	0	-7.1875
0	0	0	-7.1484375
0	0	0	-7.109375
0	0	0	-7.0703125
0	0	0	-7.03125
0	0	0	-6.9921875
0	0	0	-6.953125
0	0	0	-6.9140625
0	0	0	-6.875
0	0	0	-6.8359375
0	0	0	-6.796875
0	0	0	-6.7578125
0	0	0	-6.71875
0	0	0	-6.6796875
0	0	0	-6.640625
0	0	0	-6.6015625
0	0	0	-6.5625
0	0	0	-6.5234375
0	0	0	-6.484375
0	0	0	-6.4453125
0	0	0	-6.40625
0	0	0	-6.3671875
0	0	0	-6.328125
0	0	0	-6.2890625
0	0	0	-6.25
0	0	0	-6.2109375
0	0	0	-6.171875
0	0	0	-6.1328125
0	0	0	-6.09375
0	0	0	-6.0546875
0	0	0	-6.015625
0	0	0	-5.9765625
0	0	0	-5.9375
0	0	0	-5.8984375
0	0	0	-5.859375
0	0	0	-5.8203125
0	0	0	-5.78125
0	0	0	-5.7421875
0	0	0	-5.703125
0	0	0	-5.6640625
0	0	0	-5.625
0	0	0	-5.5859375
